"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","17","0","0"
"","Data Driven Testing","Test with XML Data","0","0","1","0","0"
"","Form Elements","Test All Dropdown Selection Methods","0","0","1","0","0"
"","Scrolling","Test Various Scrolling Methods","0","0","1","0","0"
"","Form Elements","Test Checkbox States on a Local HTML Page","0","0","1","0","0"
"","Performance","Test Performance Metrics","0","0","1","0","0"
"","Complete E2E Flow","Test End-to-End Shopping Flow","0","0","1","0","0"
"","Negative Testing","Test Duplicate Signup","0","0","1","0","0"
"","Screenshots","Test Screenshot Capabilities","0","0","1","0","0"
"","Element States","Test Element State Validations","0","0","1","0","0"
"","Browser Operations","Test Multiple Browser Windows and Tabs","0","0","1","0","0"
"","File Upload","Test File Upload using send_keys (local server)","0","0","1","0","0"
"","Waits","Test Different Wait Strategies","0","0","1","0","0"
"","Broken Links","Test Broken Link Validation","0","0","1","0","0"
"","Faker Data","Test with Faker Generated Data","0","0","1","0","0"
"","Form Elements","Test Radio Button Handling","0","0","1","0","0"
"","Negative Testing","Test Invalid Login","0","0","1","0","0"
"","Navigation","Test Browser Navigation","0","0","1","0","0"
"","Data Driven Testing","Test with Excel Data","0","0","1","0","0"
"","Data Driven Testing","Test with JSON Data","0","0","1","0","0"
"","Logging","Test Log Collection","0","0","1","0","0"
"","About Us","Test About Us Modal and Video","0","0","1","0","0"
"","Storage","Test Local and Session Storage","0","0","1","0","0"
"","Data Driven Testing","Test Utility Write/Read - CSV","0","0","1","0","0"
"","Categories","Test All Categories","0","0","1","0","0"
"","Mobile Emulation","Test Mobile View (Chrome only)","0","0","1","0","0"
"","Mouse Operations","Test All Mouse Actions","0","0","1","0","0"
"","Data Driven Testing","Test with CSV Data","0","0","1","0","0"
"","Keyboard Operations","Test Keyboard Actions and Shortcuts","0","0","1","0","0"
"","Cleanup","Test Cleanup Operations","0","0","1","0","0"
"","Data Driven Testing","Test Utility Write/Read - JSON","0","0","1","0","0"
"","JavaScript Execution","Test JavaScript Execution","0","0","1","0","0"
"","Pagination","Test Product Pagination","0","0","1","0","0"
"","Data Driven Testing","Test Utility Write/Read - XML","0","0","1","0","0"
"","Contact Form","Test Contact Form Submission","0","0","1","0","0"
"","CSS Properties","Test CSS Property Validations","0","0","1","0","0"
"","Alerts and Popups","Test Alert Handling","0","0","1","0","0"
"","Cookies","Test Cookie Operations","0","0","1","0","0"
"","Network Emulation","Test Network Conditions","0","0","1","0","0"
