"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 13:37:51 GMT 2025","Thu Oct 23 13:37:51 GMT 2025","184","selenium_demoblaze_framework.tests","test_file_upload","TestFileUpload","","","test_upload_multiple_files_local","Test multiple file upload using our local test page."
"passed","Thu Oct 23 13:38:53 GMT 2025","Thu Oct 23 13:39:01 GMT 2025","8014","selenium_demoblaze_framework.tests","test_link_checker","TestLinkChecker","","","test_check_internal_links","Test checking only internal links with fallback sites."
"passed","Thu Oct 23 13:33:35 GMT 2025","Thu Oct 23 13:33:56 GMT 2025","20958","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_11_data_driven_xml[chrome]","
        MODIFIED: Test now reads data from data/test_data.xml and performs UI actions.
        "
"passed","Thu Oct 23 13:41:04 GMT 2025","Thu Oct 23 13:41:06 GMT 2025","2278","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_cart_navigation","Test navigating to cart"
"passed","Thu Oct 23 13:37:47 GMT 2025","Thu Oct 23 13:37:49 GMT 2025","1965","selenium_demoblaze_framework.tests","test_dropdown","TestDropdowns","","","test_dropdown_selection_methods","This test verifies all three dropdown selection methods (by value, by text, and by index) from the BasePage class against a locally-hosted, 100% reliable test page."
"passed","Thu Oct 23 13:32:51 GMT 2025","Thu Oct 23 13:32:55 GMT 2025","4679","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_07_scrolling_operations[chrome]","Test scrolling operations."
"passed","Thu Oct 23 13:39:45 GMT 2025","Thu Oct 23 13:39:47 GMT 2025","2032","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_multiple_elements","Test Page Factory multiple elements initialization"
"passed","Thu Oct 23 13:32:12 GMT 2025","Thu Oct 23 13:32:13 GMT 2025","858","selenium_demoblaze_framework.tests","test_checkboxes","TestCheckboxes","","","test_local_checkbox_interaction","This test verifies checkbox functionality by checking, unchecking, and asserting states on a locally-hosted, 100% reliable test page."
"passed","Thu Oct 23 13:38:33 GMT 2025","Thu Oct 23 13:38:52 GMT 2025","19267","selenium_demoblaze_framework.tests","test_link_checker","TestLinkChecker","","","test_check_all_links","Test checking all links with fallback sites."
"passed","Thu Oct 23 13:34:57 GMT 2025","Thu Oct 23 13:35:00 GMT 2025","3071","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_15_performance_metrics[chrome]","Test performance metrics collection."
"passed","Thu Oct 23 13:35:23 GMT 2025","Thu Oct 23 13:36:01 GMT 2025","37739","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_20_complete_e2e_flow[chrome]","Test complete end-to-end shopping flow."
"passed","Thu Oct 23 13:39:51 GMT 2025","Thu Oct 23 13:40:00 GMT 2025","8440","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_category_navigation","Test Page Factory category navigation methods"
"passed","Thu Oct 23 13:37:53 GMT 2025","Thu Oct 23 13:38:32 GMT 2025","39367","selenium_demoblaze_framework.tests","test_keyword_driven","TestKeywordDriven","","","test_keyword_driven_execution","Test keyword-driven framework execution"
"passed","Thu Oct 23 13:39:41 GMT 2025","Thu Oct 23 13:39:41 GMT 2025","38","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_single_elements","Test Page Factory single element initialization"
"passed","Thu Oct 23 13:39:32 GMT 2025","Thu Oct 23 13:39:37 GMT 2025","4449","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_click_logo_using_page_factory","Test clicking logo using PURE Page Factory pattern"
"passed","Thu Oct 23 13:40:28 GMT 2025","Thu Oct 23 13:40:34 GMT 2025","6240","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_menu_navigation","Test navigation using Page Factory menu items"
"passed","Thu Oct 23 13:36:06 GMT 2025","Thu Oct 23 13:36:09 GMT 2025","2912","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_22_duplicate_signup[chrome]","Test signup with existing username."
"passed","Thu Oct 23 13:37:50 GMT 2025","Thu Oct 23 13:37:50 GMT 2025","222","selenium_demoblaze_framework.tests","test_file_upload","TestFileUpload","","","test_upload_single_file_send_keys_local","Test single file upload using send_keys on our local test page."
"passed","Thu Oct 23 13:32:57 GMT 2025","Thu Oct 23 13:32:58 GMT 2025","1607","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_08_screenshot_operations[chrome]","Test various screenshot operations."
"passed","Thu Oct 23 13:35:01 GMT 2025","Thu Oct 23 13:35:03 GMT 2025","2266","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_16_element_states[chrome]","Test element state validations."
"passed","Thu Oct 23 13:40:46 GMT 2025","Thu Oct 23 13:40:56 GMT 2025","9196","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_search_functionality","Test product search functionality"
"passed","Thu Oct 23 13:32:14 GMT 2025","Thu Oct 23 13:32:16 GMT 2025","2106","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_01_browser_windows_and_tabs[chrome]","Test handling multiple windows and tabs."
